🌀  CYCLONE
🌁  FOGGY
🌂  CLOSED UMBRELLA
🌃  NIGHT WITH STARS
🌄  SUNRISE OVER MOUNTAINS
🌅  SUNRISE
🌆  CITYSCAPE AT DUSK
🌇  SUNSET OVER BUILDINGS
🌈  RAINBOW
🌉  BRIDGE AT NIGHT
🌊  WATER WAVE
🌋  VOLCANO
🌌  MILKY WAY
🌍  EARTH GLOBE EUROPE-AFRICA
🌎  EARTH GLOBE AMERICAS
🌏  EARTH GLOBE ASIA-AUSTRALIA
🌐  GLOBE WITH MERIDIANS
🌑  NEW MOON SYMBOL
🌒  WAXING CRESCENT MOON SYMBOL
🌓  FIRST QUARTER MOON SYMBOL
🌔  WAXING GIBBOUS MOON SYMBOL
🌕  FULL MOON SYMBOL
🌖  WANING GIBBOUS MOON SYMBOL
🌗  LAST QUARTER MOON SYMBOL
🌘  WANING CRESCENT MOON SYMBOL
🌙  CRESCENT MOON
🌚  NEW MOON WITH FACE
🌛  FIRST QUARTER MOON WITH FACE
🌜  LAST QUARTER MOON WITH FACE
🌝  FULL MOON WITH FACE
🌞  SUN WITH FACE
🌟  GLOWING STAR
🌠  SHOOTING STAR
🌡  THERMOMETER
🌢  BLACK DROPLET
🌣  WHITE SUN
🌤  WHITE SUN WITH SMALL CLOUD
🌥  WHITE SUN BEHIND CLOUD
🌦  WHITE SUN BEHIND CLOUD WITH RAIN
🌧  CLOUD WITH RAIN
🌨  CLOUD WITH SNOW
🌩  CLOUD WITH LIGHTNING
🌪  CLOUD WITH TORNADO
🌫  FOG
🌬  WIND BLOWING FACE
🌭  HOT DOG
🌮  TACO
🌯  BURRITO
🌰  CHESTNUT
🌱  SEEDLING
🌲  EVERGREEN TREE
🌳  DECIDUOUS TREE
🌴  PALM TREE
🌵  CACTUS
🌶  HOT PEPPER
🌷  TULIP
🌸  CHERRY BLOSSOM
🌹  ROSE
🌺  HIBISCUS
🌻  SUNFLOWER
🌼  BLOSSOM
🌽  EAR OF MAIZE
🌾  EAR OF RICE
🌿  HERB
🍀  FOUR LEAF CLOVER
🍁  MAPLE LEAF
🍂  FALLEN LEAF
🍃  LEAF FLUTTERING IN WIND
🍄  MUSHROOM
🍅  TOMATO
🍆  AUBERGINE
🍇  GRAPES
🍈  MELON
🍉  WATERMELON
🍊  TANGERINE
🍋  LEMON
🍌  BANANA
🍍  PINEAPPLE
🍎  RED APPLE
🍏  GREEN APPLE
🍐  PEAR
🍑  PEACH
🍒  CHERRIES
🍓  STRAWBERRY
🍔  HAMBURGER
🍕  SLICE OF PIZZA
🍖  MEAT ON BONE
🍗  POULTRY LEG
🍘  RICE CRACKER
🍙  RICE BALL
🍚  COOKED RICE
🍛  CURRY AND RICE
🍜  STEAMING BOWL
🍝  SPAGHETTI
🍞  BREAD
🍟  FRENCH FRIES
🍠  ROASTED SWEET POTATO
🍡  DANGO
🍢  ODEN
🍣  SUSHI
🍤  FRIED SHRIMP
🍥  FISH CAKE WITH SWIRL DESIGN
